store,demand
3,988362.529135155
4,613533.916998548
5,746930.944400485
9,854707.105394355
16,881111.374827382
18,1268481.83516915
19,1517966.84381524
20,756885.686118487
24,727736.886678182
27,656593.239543908
30,727890.816106557
33,1144254.91493156
35,965702.720071175
37,489509.875417945
38,607675.020221941
39,717285.574540003
42,1801365.89669211
43,749745.804362139
46,1007871.14640897
50,477674.307352774
51,1099826.79519035
53,563553.185708432
55,569610.687218915
59,1475290.4680395
60,556326.481611237
62,877864.391604282
64,734001.64956741
65,578493.439581319
70,2583517.23566731
71,736345.816167165
79,1096942.72241634
81,448979.484391334
82,1440516.64273106
87,589279.601855964
89,946707.368176274
90,876047.903954049
91,1360125.01036799
95,586182.629415053
100,629363.343640508
101,994447.446374458
106,730851.968369112
109,605945.345474478
111,3830561.92841387
112,793312.858744867
117,608427.041058577
120,606655.768302562
121,3612009.41755138
131,2076658.66290284
132,587057.874759961
133,619899.413628167
134,849068.671409414
136,1371255.52059819
137,1807205.25024823
140,791100.377556325
141,2097626.10088741
142,839014.934021079
143,2021765.8926896
148,2002191.37842456
152,734001.64956741
154,702659.627420129
158,659402.18336943
161,3574602.46387239
162,2835312.09147988
163,866697.160683034
164,1020401.46139852
166,1145272.98017846
167,398000.384610077
168,982019.964259558
170,922946.566414708
171,722514.966945347
172,1128526.80674239
174,728426.790181271
175,1128764.80057209
176,1317084.18612255
177,1354667.45675447
182,948980.486820389
183,1065871.75764331
184,1403752.57681653
185,1316078.93791861
187,1039601.79580263
188,3227078.32230898
189,541424.031284359
191,1377233.67483914
192,734001.64956741
193,2007747.32242909
194,1276931.31671305
195,2404165.74369755
198,1386959.9060066
199,718762.182843425
200,1489866.33379177
201,1171870.00202177
202,745075.014774518
203,1050372.57305409
206,1009107.37029917
207,1183128.41271181
208,720188.922093898
209,1920924.47926755
210,1399628.57757121
211,1653017.0575681
213,2299739.54696422
214,606530.815125794
217,802738.065405754
218,1388519.96900146
219,462752.707521454
221,1094792.88103106
222,1695397.36594002
224,2016371.58735666
225,989256.891727242
227,578811.334763579
229,1306185.84230173
231,1133488.75295684
234,1385632.76446618
236,2066554.08698473
237,614286.977679386
238,956611.563682075
239,2854875.50576426
241,1555344.28248086
246,1228408.63332733
247,1159869.05440149
251,2482642.7362868
253,1336809.90958341
254,559076.091111426
255,689015.247671552
257,70314.2150189484
258,851011.975366493
259,1287539.73388235
261,1770175.4198455
263,1227415.20445892
266,877745.270478683
269,1808901.85622788
270,390382.372381205
