store,demand
3,7077529.72883371
4,4276551.73121604
5,5318802.81124608
9,5761538.46132643
16,6264382.84698215
18,8979340.05539487
19,10842620.8502476
20,5398960.95067027
24,4245184.51795542
27,4582296.37993629
30,5091746.88715283
33,8186231.65303408
35,6918833.03374289
37,3441423.24112258
38,4288243.81561877
39,5162801.1449494
42,13037708.296144
43,5269185.15705537
46,7161431.14208786
50,3415840.19085305
51,8025115.72131168
53,4000276.14534336
55,4070614.15794677
59,10568330.6726823
60,3603636.817683
62,6275177.82660004
64,5242868.9254815
65,4132096.00899232
70,18839254.1469528
71,5274328.51103367
79,7829014.2683045
81,3223617.36819569
82,10289404.5909361
87,4214139.51730084
89,6759875.18981544
90,6240126.74778494
91,9731081.53520506
95,4102952.24344289
100,4496229.53040476
101,6788661.69922131
106,5222554.91353299
109,4328912.33905786
111,27925618.4803917
112,5665947.30654249
117,4342828.58452221
120,2550450.83074205
121,26295108.5896685
131,15122820.7485941
132,4187666.95797828
133,4427975.21215478
134,6178767.82383433
136,9794682.28998706
137,12908608.9303274
140,5651132.82519233
141,15200482.3877665
142,5992962.64354255
143,14441184.9471751
148,14301366.9887151
152,5242868.9254815
154,5021612.3833492
158,4710004.96745868
161,26044819.6593334
162,20694672.3345472
163,6190694.00487881
164,7288581.8671323
166,8255513.90990526
167,2842854.48514471
168,7013955.51740911
170,6592475.47439077
171,5009964.26280599
172,8060906.06053575
174,5203222.74129211
175,8062605.7183721
176,9407744.18658967
177,9660195.44105056
182,6778432.04871706
183,7613369.69745222
184,10026804.120118
185,9454992.31539425
187,7425727.1128759
188,23511785.720036
189,3867314.50917399
191,10013591.1593908
192,5242868.9254815
193,14341052.3030649
194,9120939.87884936
195,17401344.8484334
198,9906856.47147573
199,5134015.59173875
200,10641902.384227
201,8375645.74057226
202,5321964.39124655
203,7502661.23610062
206,7207909.92105195
207,8450917.23365577
208,5144206.58638498
209,13720889.1376254
210,9997346.9826515
211,11807265.1595746
213,16426711.0497444
214,4115663.26380262
217,5733843.32432681
218,9917999.77858187
219,3305376.4822961
221,7819949.15022187
222,12109981.1852859
224,14402654.1954047
225,7066120.65519458
227,4137192.42985671
229,9329899.07208249
231,8107488.66017154
234,9897376.88904417
236,14761100.6213195
237,4387764.12628132
238,6832951.66960422
239,20773348.0098003
241,11252902.1036734
246,8774347.38090947
247,8284778.96001063
251,17733162.4020486
253,9548642.21131006
254,4009304.68667585
255,4921537.48336823
257,502244.392992488
258,6078656.96690352
259,9196712.38487394
261,12904656.2593326
263,8767251.46042087
266,6273464.0361964
269,12908828.1164427
270,2788445.5170086
271,8404081.40466735
272,8427183.15794752
279,9884040.15850698
280,6875202.19326733
281,9845983.78116774
282,20638398.5102288
288,9502288.11385806
289,12430817.1564892
291,11981159.2452497
293,8427183.15794752
295,10887935.9885747
297,5914509.46971593
301,5477063.06031699
302,4036063.01071058
303,14285653.1608578
305,6939674.02545781
311,6918747.92852172
312,12170328.3526573
315,5520817.3015612
316,4872293.99129693
319,12549117.6994242
321,10643412.6049987
322,8166539.05275543
323,16388375.6903441
331,15824562.8337719
334,6980405.30898635
337,5783917.91728751
341,8155854.78037358
351,9418984.86385393
358,13850368.9562102
360,4039563.20746838
364,19144786.5282035
369,3967590.50726967
370,7652596.35459471
371,9585249.84571425
381,20278553.4819557
382,8427183.15794752
383,12261696.1801981
386,2743140.43108381
390,8579560.63635723
391,5832643.46371993
395,8415077.71528774
397,3042618.57941147
398,5809180.1812374
401,17221734.9335235
403,4282557.57695704
405,1536708.04005224
407,3880312.35773605
411,10041877.1609478
412,7498713.26331215
414,4192310.45398755
416,502244.392992488
418,17793227.4512051
421,7702242.74458914
423,9509026.78736103
424,3219557.32044009
427,7817527.34942446
428,10999279.731208
430,19914098.3718025
431,24385858.5197697
433,7184185.83184974
434,10248421.8018488
438,5386605.83204702
441,9735317.07978155
446,3382497.40382761
449,4025200.74337936
451,13869524.5911522
453,7019563.18072107
456,8884452.79529951
458,6558735.46195779
461,17018121.6084315
465,3859354.53136379
467,5855576.22704595
468,5472559.21887661
469,4130495.86575357
470,10679035.7486391
471,9570268.79046167
473,5199674.04153762
474,10135486.9874746
475,14108938.5325592
478,6945971.60987871
479,5747171.90175822
480,19167011.8580111
481,24460372.0357876
487,12360358.2902561
491,9769810.79737127
494,2951051.05842583
495,3119810.36624324
497,13247671.6974144
498,4865237.99965945
506,20767740.4465703
507,7137468.43831952
511,28511478.0552145
515,10462723.1948342
516,9236831.53204778
520,6001182.13569058
521,7917261.40195147
527,17963660.4087182
530,5557680.87031858
531,11996220.3956208
532,5597376.58661798
534,6956554.13739502
538,20161655.0967025
540,4497694.12515809
541,15754743.9415329
543,5632429.20296709
546,2966654.93728207
548,10032535.1931221
550,16372650.4712568
551,40246572.4357768
556,5387645.19207845
557,5155539.40203984
559,4779616.25962221
561,5920857.60780777
562,4819683.57303661
566,9693255.75458486
569,1247694.1631799
571,23892818.5582301
576,8804788.53420545
581,13101614.3671693
583,5734213.06981681
584,7466583.62648492
585,6647575.28049953
586,8387808.09541594
590,12256763.5179326
591,13631573.6973624
592,3916870.19592417
601,7735300.7704736
605,2394479.31714086
606,2829393.58315244
609,4405949.00853285
611,5409868.35209553
614,5338256.57652971
621,6541156.08598308
623,3795144.64808244
625,7933026.7205686
626,5155539.40203984
631,15577465.6231315
632,7071380.99084419
635,7054578.82577391
638,6939887.04794307
640,5929899.92020111
641,17539937.384666
643,5242868.9254815
646,5242868.9254815
651,11077544.2440243
656,7181499.47593633
662,15300589.9892687
663,5499730.25989852
664,12456268.3013589
670,5873655.6056336
671,16114551.8684418
673,8690576.50287299
677,7243128.61624103
680,2136552.35868851
683,46587084.6240845
684,8364162.94517432
688,13635725.1328624
691,11185786.9680263
696,6171374.48445902
698,9815270.10884986
701,12870069.0449376
703,7961649.18923165
704,6271039.49852672
706,2024248.98174465
707,3707463.0435987
709,3242425.98623264
711,10647328.2212004
721,27178079.0900594
725,2433076.0865354
728,2826835.47015152
729,15331972.2791426
731,5742904.60026245
736,7814866.44780401
738,12153578.8056136
741,12115431.0664594
