store,demand
3,7106876.85719044
4,4386134.56699918
5,5345713.85681652
9,6108222.93427344
16,6307672.32983777
18,9090170.18519542
19,10842620.8634441
20,5406567.8184406
24,5199574.13748096
27,4696661.04571641
30,5210505.7282178
33,8187013.27027641
35,6950700.38915996
37,3496659.53050165
38,4342595.69031664
39,5162886.62182252
42,13041278.7326162
43,5356711.91172447
46,7205861.72079037
50,3415847.80098091
51,8025440.20073192
53,4026554.89964237
55,4070663.17354149
59,10572052.1102349
60,3973989.68256946
62,6280269.365353
64,5246189.71808568
65,4132096.48101436
70,18842056.3949424
71,5274347.92272268
79,7835386.4734734
81,3223639.77115375
82,10289437.00741
87,4214212.29841779
89,6762270.53280924
90,6261614.8224689
91,9741163.05644421
95,4187052.85252618
100,4496253.62968578
101,7108073.01668791
106,5222746.26739256
109,4328914.18198294
111,27929898.7270609
112,5666664.70993541
117,4349384.59335169
120,4333572.14026251
121,26300113.8391031
131,15124091.7496868
132,4194024.30086266
133,4427997.01828248
134,6179062.31135781
136,9794693.77152338
137,12908608.9303518
140,5651138.39474176
141,15204614.3200784
142,5992980.8744262
143,14441184.9478361
148,14301366.988749
152,5246189.71808568
154,5021969.14712573
158,4710015.89219526
161,26049327.2723715
162,20697309.8629008
163,6190694.0051186
164,7288630.71361101
166,8256777.42883707
167,2842861.41319387
168,7014756.25021959
170,6608303.74375438
171,5160821.51603322
172,8061218.42248093
174,5206499.18963213
175,8062605.73212989
176,9424850.57666532
177,9676205.43294933
182,6778432.0488914
183,7613389.23831351
184,10034571.2555013
185,9467452.5160077
187,7425727.11629227
188,23515863.246727
189,3871247.26447091
191,10013971.7240679
192,5246189.71808568
193,14341415.8243971
194,9121023.03769626
195,17407842.078587
198,9906902.95699585
199,5134450.86394823
200,10641902.3925851
201,8377262.70518644
202,5373413.97695278
203,7502661.23610062
206,7207912.7055456
207,8450917.29762211
208,5144206.586385
209,14012509.4287331
210,10000344.4985135
211,11807749.9708905
213,16426711.0497444
214,4335326.75349667
217,5733843.32432723
218,9917999.78254056
219,3305376.4822961
221,7845595.84443362
222,12109981.2221131
224,14403567.6273688
225,7066120.65526121
227,4137508.49223947
229,9379168.83278564
231,8153346.69017007
234,9897378.91105436
236,14761100.6213199
237,4387764.1264208
238,6832952.6405318
239,20777602.2716582
241,11253607.0946571
246,8774347.38090947
